"http://www.rattlestick.org/support_us/","Rattlestick Playwrights Theater"
"https://web.ovationtix.com/trs/store/2722/alldonations/24291","Red Bull Theater"
"http://repertorio.nyc/#/donate","Repertorio Español"
"https://www.roundabouttheatre.org/","Roundabout Theatre Company"
"http://2st.com/support-us","Second Stage Theatre"
"http://sheencenter.org/","Sheen Center"
"http://www.signaturetheatre.org/","Signature Theatre Company"
"http://siti.org/","SITI Company"
"https://red.vendini.com/donation-software.html?d=dec967f1bb41ba25e14dc479927a7f84&amp;t=donation","SoHo Playhouse"
"http://sohorep.org/support/donate","Soho Rep"
"http://www.superheroclubhouse.org/","Superhero Clubhouse"
"http://tactnyc.org/support/","TACT NY"
"https://www.targetmargin.org","Target Margin Theater"
"http://www.nycharities.org/donate/c_donate.asp?CharityCode=2115","Teatro SEA"
"http://tectonictheaterproject.org/","Tectonic Theater"
"http://theactorsstudio.org/","The Actors Studio"
"http://www.tbtb.org/","Theater Breaking Through Barriers"
"http://www.theaterforthenewcity.net/donation.htm","Theater for the New City"
"https://newyorktheater.me/2021/11/29/sondheim-the-mourning-after-stageworthynews/","Theater of the Oppressed"
"http://www.theaterlabnyc.com/","Theaterlab"
"https://theatermitu.org/support/","Theater Mitu"
"http://www.tfana.org/support","Theatre for a New Audience"
"http://thebillieholiday.org/","The Billie Holiday Theatre"
"http://web.ovationtix.com/trs/store/122/alldonations/365","The Brick"
"https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&amp;hosted_button_id=MXKAK9FLGKCTU","The Cell Theatre"
"https://web.ovationtix.com/trs/store/14/donate/285","The Flea Theater"
"http://thepit-nyc.com/","The Peoples Improv Theater"
"http://www.playwrightsrealm.org/donate/","The Playwrights Realm"
"http://www.secrettheatre.com/","The Secret Theatre"
"https://thetanknyc.org/support","The Tank"
"http://www.yorktheatre.org/make-a-donation.html","The York Theatre Company"
"https://fundraising.fracturedatlas.org/third-rail-projects","Third Rail Projects"
"http://transportgroup.org/","Transport Group"
"http://tschreiber.org/","T. Schreiber Theatre"
"http://www.untitledtheater.com/","Untitled Theater Company #61"
"http://urbanstages.org/support/","Urban Stages"
"http://www.vineyardtheatre.org/support/making-your-gift/","Vineyard Theatre"
"https://waterwell.funraise.org/","Waterwell"
"https://www.wwtns.org/","What Will the Neighbors Say?"
"http://wptheater.org/","WP Theater"
